label,ss
light scattering evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007062]
DNA laddering assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001176]
imported manually asserted information used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000322]
"5-cyano-2,3-ditolyl tetrazolium chloride staining evidence used in automatic assertion",[http://purl.obolibrary.org/obo/ECO_0007605]
x-ray crystallography evidence,[http://purl.obolibrary.org/obo/ECO_0001823]
in vitro transcription reconstitution assay evidence,[http://purl.obolibrary.org/obo/ECO_0000150]
circular dichroism evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006200]
atomic force microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001591]
desumoylation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001551]
competitive binding evidence,[http://purl.obolibrary.org/obo/ECO_0006264]
pharmacological assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006054]
manually integrated combinatorial evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007676]
curator inference from Wikipedia used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007835]
transcription assay evidence,[http://purl.obolibrary.org/obo/ECO_0000168]
Affymetrix GeneChip evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000272]
cell transfection experiment evidence,[http://purl.obolibrary.org/obo/ECO_0005606]
blocking polyclonal antibody evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001152]
protein assay evidence,[http://purl.obolibrary.org/obo/ECO_0000039]
sodium dodecyl sulfate polyacrylamide gel electrophoresis evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007689]
4C evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007234]
deubiquitination assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007791]
in vitro transcription reconstitution assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007723]
in vivo demethylation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001078]
sequencing assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007812]
partial support of intron positions by RNA-sequencing alignment evidence,[http://purl.obolibrary.org/obo/ECO_0000344]
near-UV circular dichroism evidence,[http://purl.obolibrary.org/obo/ECO_0006180]
quantum mechanics simulation evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006142]
ferric uptake regulator titration assay evidence,[http://purl.obolibrary.org/obo/ECO_0001829]
ad-hoc quantitative phenotype observation evidence,[http://purl.obolibrary.org/obo/ECO_0005675]
phylogenetic determination of loss of key residues evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007330]
localization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007806]
BLAST evidence,[http://purl.obolibrary.org/obo/ECO_0000206]
"differential geneset expression evidence from microarray experiment (GSEA, Fisher-exact) used in automatic assertion",[http://purl.obolibrary.org/obo/ECO_0007258]
nucleotide analog incorporation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001241]
koehler illumination microscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007613]
single exon transcript confirmation via alignment evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007152]
differential methylation hybridization evidence,[http://purl.obolibrary.org/obo/ECO_0000069]
in vivo palmitoylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001216]
enzymatic activity assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007468]
curator inference from MedlinePlus encyclopedia used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007837]
temperature-sensitive mutant phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007585]
in vivo palmitoylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007419]
transmission electron microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007044]
biological target-disease association via drug evidence,[http://purl.obolibrary.org/obo/ECO_0000360]
rapid amplification of cDNA ends polymerase chain reaction evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005661]
agglutination test evidence,[http://purl.obolibrary.org/obo/ECO_0007019]
3D cell culture evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001138]
wide-field fluorescence microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006062]
fluorescence resonance energy transfer evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007387]
ex vivo assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007690]
epifluorescence microscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007607]
multiple sequence alignment evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0005557]
beta-glucuronidase reporter gene assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007512]
in vitro assay evidence,[http://purl.obolibrary.org/obo/ECO_0000181]
in vivo defarnesylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007413]
viscosity measurement evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006325]
in vivo demethylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001211]
current density evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007171]
in vivo farnesylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007417]
high throughput cell biology evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006059]
phenomic profiling assay evidence,[http://purl.obolibrary.org/obo/ECO_0007075]
bromodeoxyuridine incorporation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001018]
cell-based assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007773]
cell permeability assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001158]
genetic interaction evidence,[http://purl.obolibrary.org/obo/ECO_0000011]
imported information used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000312]
disk diffusion test evidence,[http://purl.obolibrary.org/obo/ECO_0005605]
histochemistry evidence,[http://purl.obolibrary.org/obo/ECO_0001050]
northern blot evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007518]
chimeric protein phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001161]
match to sequence model evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000255]
immunological assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007348]
colony counting evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001165]
molecule detection assay evidence,[http://purl.obolibrary.org/obo/ECO_0005516]
epifluorescence microscopy evidence,[http://purl.obolibrary.org/obo/ECO_0007041]
time-lapsed microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007048]
chemotaxis assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007701]
anti-sense experiment evidence,[http://purl.obolibrary.org/obo/ECO_0000018]
RNA-protein binding evidence,[http://purl.obolibrary.org/obo/ECO_0006270]
confocal microscopy evidence,[http://purl.obolibrary.org/obo/ECO_0005587]
colony counting evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007365]
methidiumpropyl-ethylenediaminetetraacetic acid iron (II) footprinting evidence,[http://purl.obolibrary.org/obo/ECO_0001814]
biochemical trait analysis evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007116]
multiple sequence alignment evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005556]
in vitro farnesylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007400]
colony boundary assay evidence,[http://purl.obolibrary.org/obo/ECO_0006240]
radioisotope quantification assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007845]
differential scanning calorimetry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006233]
urine test evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007462]
nuclear magnetic resonance imaging evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006168]
medical imaging evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001231]
array-based sequence capture evidence,[http://purl.obolibrary.org/obo/ECO_0000093]
cryogenic electron microscopy-based structural model with high relative B-factor values used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006227]
curator inference from database,[http://purl.obolibrary.org/obo/ECO_0007636]
beta-glucuronidase fusion protein localization evidence,[http://purl.obolibrary.org/obo/ECO_0000130]
nuclear magnetic resonance spectroscopy evidence,[http://purl.obolibrary.org/obo/ECO_0006163]
compositional similarity evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007096]
near-UV circular dichroism evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006207]
Etest evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007086]
host colonization assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0001831]
epifluorescence microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007042]
mutant visible phenotype evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007222]
liquid chromatography coupled with tandem mass spectrometry evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0001581]
terminal deoxynucleotidyl transferase dUTP nick end labeling assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007463]
curator inference from Britannica,[http://purl.obolibrary.org/obo/ECO_0007639]
specific protein inhibition by antibody evidence,[http://purl.obolibrary.org/obo/ECO_0000341]
medical imaging evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007434]
yeast 2-hybrid evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007531]
nucleotide sequencing assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007813]
adoptive cell transfer evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007341]
selective antibody-based structural conformation evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006235]
current clamp recording evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007278]
heteronuclear single quantum coherence spectroscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007513]
allograft transplantation phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001146]
cell staining evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007157]
wide-field microscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007491]
static fluorescence quenching evidence,[http://purl.obolibrary.org/obo/ECO_0006274]
7-aminoactinomycin staining evidence,[http://purl.obolibrary.org/obo/ECO_0001005]
Raman spectroscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006300]
protein detection assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007819]
affinity evidence,[http://purl.obolibrary.org/obo/ECO_0000023]
phenotypic similarity evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007748]
density functional theory simulation evidence,[http://purl.obolibrary.org/obo/ECO_0006144]
cell proliferation assay evidence,[http://purl.obolibrary.org/obo/ECO_0005007]
inferential evidence,[http://purl.obolibrary.org/obo/ECO_0000361]
in vivo polyADP-ribosylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005501]
tethered cell assay evidence,[http://purl.obolibrary.org/obo/ECO_0005607]
author statement without traceable support used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000303]
enzymatic activity assay evidence,[http://purl.obolibrary.org/obo/ECO_0000005]
consensus search evidence,[http://purl.obolibrary.org/obo/ECO_0005532]
biological system reconstruction evidence based on paralogy evidence,[http://purl.obolibrary.org/obo/ECO_0005550]
field potential recording evidence,[http://purl.obolibrary.org/obo/ECO_0006047]
cytochemistry evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001172]
automatic assertion,[http://purl.obolibrary.org/obo/ECO_0000203]
epitope-tagged protein immunolocalization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007207]
cDNA to DNA expression microarray evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000273]
in vivo cleavage assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007411]
blood test evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007351]
curator inference from Oxford Dictionary used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007842]
loss-of-function mutant phenotype evidence,[http://purl.obolibrary.org/obo/ECO_0000016]
enzyme inhibition evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007123]
spatial pattern of protein expression evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000283]
high throughput mutant phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007001]
Edman degradation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001043]
cap analysis of gene expression evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007144]
in vivo cleavage assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001208]
site-directed spin-labelling electron paramagnetic resonance evidence,[http://purl.obolibrary.org/obo/ECO_0006254]
protein dot blot assay evidence,[http://purl.obolibrary.org/obo/ECO_0001116]
[3H]-thymidine incorporation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001003]
quantitative mass spectrometry evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001253]
MTS assay evidence,[http://purl.obolibrary.org/obo/ECO_0001100]
ad-hoc quantitative phenotype observation evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007529]
nuclear magnetic resonance imaging evidence,[http://purl.obolibrary.org/obo/ECO_0006166]
morphological similarity evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007098]
multilocus sequence typing evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0001599]
in vitro cleavage assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001191]
high throughput genetic interaction phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007588]
obsolete bait-prey protein pull-down evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006280]
Hi-C evidence,[http://purl.obolibrary.org/obo/ECO_0000238]
high throughput direct assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007589]
motif discovery evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005558]
compement fixation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007602]
resonant mirror biosensor evidence,[http://purl.obolibrary.org/obo/ECO_0001123]
Southwestern blot evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006086]
nucleotide BLAST evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000032]
quantum mechanics/molecular mechanics simulation evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006136]
sustained current evidence,[http://purl.obolibrary.org/obo/ECO_0005566]
urea-induced protein unfolding evidence,[http://purl.obolibrary.org/obo/ECO_0006266]
deglycosylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006292]
immunoperoxidase immunolocalization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007494]
Illumina sequencing evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007125]
cRNA to DNA expression microarray evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000276]
subtractive hybridization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000290]
yellow fluorescent protein fusion protein localization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007107]
manually integrated combinatorial experimental evidence,[http://purl.obolibrary.org/obo/ECO_0007655]
environmental perturbation phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007240]
southern hybridization evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007101]
cell population optical density evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001847]
genomic systematic evolution of ligands by exponential amplification evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0005635]
xenotransplantation phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007460]
static light scattering assay evidence,[http://purl.obolibrary.org/obo/ECO_0007065]
transgenic organism evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001266]
glutathione S-transferase pull-down assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005640]
medical practitioner statement evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006161]
in vitro assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007122]
subtractive hybridization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007318]
isothermal titration calorimetry evidence,[http://purl.obolibrary.org/obo/ECO_0001825]
voucher specimen phenotypic analysis evidence,[http://purl.obolibrary.org/obo/ECO_0000050]
compement fixation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007032]
thin layer chromatography evidence,[http://purl.obolibrary.org/obo/ECO_0000140]
biochemical trait analysis evidence,[http://purl.obolibrary.org/obo/ECO_0000172]
terminal deoxynucleotidyl transferase dUTP nick end labeling assay evidence,[http://purl.obolibrary.org/obo/ECO_0001133]
mutant visible phenotype evidence,[http://purl.obolibrary.org/obo/ECO_0000176]
macropatch voltage clamp recording evidence,[http://purl.obolibrary.org/obo/ECO_0005584]
methidiumpropyl-ethylenediaminetetraacetic acid iron (II) footprinting evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005652]
quantitative polymerase chain reaction evidence,[http://purl.obolibrary.org/obo/ECO_0000231]
in vitro sumoylation assay evidence,[http://purl.obolibrary.org/obo/ECO_0001070]
RNA-protein binding evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006321]
xenotransplantation phenotypic evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001260]
chemotaxis assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007780]
voucher specimen phenotypic analysis evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007093]
enzyme-linked immunoabsorbent assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007488]
splice site mutation phenotypic evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007271]
in vivo ubiquitination assay evidence,[http://purl.obolibrary.org/obo/ECO_0001089]
comet assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001166]
phase contrast microscopy evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007050]
X-ray crystallography-based structural model with missing residue coordinates used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0006220]
expression microarray evidence,[http://purl.obolibrary.org/obo/ECO_0000058]
positional similarity evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007198]
caspase assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0001156]
inferential evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007751]
protein separation followed by direct sequencing evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007216]
Hi-C evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007238]
in vivo translation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007424]
gene neighbors evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007333]
mutant phenotype evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007325]
co-fractionation evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007104]
direct assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007307]
conditional knockout evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007369]
author inference,[http://purl.obolibrary.org/obo/ECO_0006185]
farnesylation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007721]
fusion protein localization evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007808]
sequencing assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007732]
macroscopic current trace evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007170]
transcriptional activation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007633]
cell-free assay evidence,[http://purl.obolibrary.org/obo/ECO_0000183]
cryogenic electron microscopy evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0006209]
MTT assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007438]
rapid divergence from ancestral sequence evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007331]
full support of intron positions by RNA-sequencing alignment evidence,[http://purl.obolibrary.org/obo/ECO_0000343]
x-ray crystallography evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0005670]
automatically integrated combinatorial experimental evidence,[http://purl.obolibrary.org/obo/ECO_0007658]
expression microarray evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000275]
whole transcript splice pattern evidence,[http://purl.obolibrary.org/obo/ECO_0000327]
protein separation followed by fragment identification evidence,[http://purl.obolibrary.org/obo/ECO_0000160]
adhesion assay evidence,[http://purl.obolibrary.org/obo/ECO_0001006]
enzyme-linked immunoabsorbent assay evidence,[http://purl.obolibrary.org/obo/ECO_0000267]
sequence similarity evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0000250]
curator inference from book used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007757]
in vitro methylation assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007401]
Edman degradation evidence,[http://purl.obolibrary.org/obo/ECO_0001044]
chromosome conformation-based evidence,[http://purl.obolibrary.org/obo/ECO_0000232]
Sos-recruitment assay evidence,[http://purl.obolibrary.org/obo/ECO_0000072]
translation assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007717]
dynamic light scattering assay evidence used in manual assertion,[http://purl.obolibrary.org/obo/ECO_0007064]
cut-open oocyte voltage clamp recording evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007285]
protein inhibition evidence,[http://purl.obolibrary.org/obo/ECO_0000020]
phage display evidence,[http://purl.obolibrary.org/obo/ECO_0001108]
in vitro cleavage assay evidence used in automatic assertion,[http://purl.obolibrary.org/obo/ECO_0007394]
